text,label,Labels_Final
Rahui Katene went on to say that the Māori Party was concerned about the impact of this bill on vulnerable people.,"M,M,P,P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,P,P,P",B
"Otirā Te Arawa waka, Te Arawa tangata, tēnā koutou, tēnā koutou, nau mai, haere mai.","M,M,M,M,M,M,M,M,M,M,M,M,M,M,M",M
"Kātahi te pōhēhē, kātahi te pōrangi, kātahi te heahea rawa atu o tērā kōrero! Anei te tangata! Anei te tangata e tū atu nei! Nāna anō rā Te Kōhanga Reo i hanga i ōna rā me Te Kura Kaupapa Māori.","M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M",M
"Tēnā anō koutou e Ngāti Manawa, Ngāti Whare.","M,M,M,M,M,M,M,M",M
He rangatira o roto o Ngāi Tūahuriri.,"M,M,M,M,M,M,M",M
"Ko mātaunei te kanohi Māori o te rānei, he reo Māori e tūmotuhakeana hei māngaimōngāhapū, me ngā rohe Māori o Aotearoa nei.","M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M",M
I dragged out the statistics on drug crime as well.,"P,P,P,P,P,P,P,P,P,P",P
Yes.,P,P
What happened in this House in the Committee stage on the bill on Thursday?,"P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"One cannot rule out the question of an accident, and, what is more important, one cannot rule out the prospect of a nuclear-powered ship being a prime target for a terrorist attack.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"Mark my words: this legislation will see the destruction of the cooperative of Fonterra, and I say that with sadness.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"The Australian commission is charged with facilitating adjustment to structural change, which some would see as some way from a definition or a reflection of a focus on productivity.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"I think it is time we had a change, and had a Minister of Local Government who is up to the job.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
It is for the benefit of the industry.,"P,P,P,P,P,P,P,P",P
What an interesting week for the Reserve Bank to be debating the now rather exciting Insurance Amendment Bill.,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
That is exactly the money.,"P,P,P,P,P",P
"We understand we have these obligations and we understand we want to be part of this treaty; therefore, we must meet those obligations.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
I think it is important that we note that.,"P,P,P,P,P,P,P,P,P",P
So the Minister needs to get with it.,"P,P,P,P,P,P,P,P",P
Free to beat up the wife.,"P,P,P,P,P,P",P
Thank you.,"P,P",P
It definitely does not.,"P,P,P,P",P
"The other concern we have, which the Minister might like to allude to during the Committee stage, is the power of the Minister, Gerry Brownlee, to instruct our three local authorities to sell some of the assets they hold.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
I want people to think about it.,"P,P,P,P,P,P,P",P
"Therefore, that would be likely to encourage and favour foreign purchasers over New Zealand purchasers, which is the antithesis of the intent and object of the bill that the Hon Nick Smith has brought to the House this evening.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"The Tories in the National Party will give to their privileged mates, time and time again, while they will ignore others.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
The workers asked that the labour inspector not forward the allegations unless they came back to the labour inspector.,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"That is an enormous amount of Government funding, matched by private sector funding, but it is opposed by National, of course.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"And, yes, there is a known need amongst our children.","P,P,P,P,P,P,P,P,P,P",P
But we do not see any result of that.,"P,P,P,P,P,P,P,P,P",P
We have announced the expansion of the KiwiSaver first-home deposit subsidy scheme.,"P,P,P,P,P,P,P,P,P,P,P,P,P",P
Imagine someone having an enormous stockpile of hand-held high-power laser pointers that could be weapons of mass destruction in that context.,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
It comes at a cost to some other person who has paid taxes so that Mr Anderton can have his photograph taken when handing out a cheque.,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
It will help build a sustainable future for New Zealand over the long term.,"P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"He is a guy I have got on pretty well with, and I admired his contribution, because there he was in a deep hole, crawling his way out and fighting vigorously for something he knows is indefensible.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"The Government is promoting the case that the only thing this bill does is give people the right to ask, and therefore we should support it.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
Who brought in the Employment Contracts Act?,"P,P,P,P,P,P,P",P
I beg the member’s pardon but I ask members to be a bit more reasonable with the noise.,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
You didn’t say that.,"P,P,P,P",P
OK.,P,P
"One of the worst examples, of course, is the former Prime Minister Jenny Shipley, who when Mainzeal Property and Construction collapsed, literally hours before it went under, jumped ship.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"No, they were wrong.","P,P,P,P",P
I have been to the lake.,"P,P,P,P,P,P",P
I want to go into that issue in a moment.,"P,P,P,P,P,P,P,P,P,P",P
"In light of that answer, is it now the Government’s position to rely on the household labour force survey as the measure of unemployment and employment, in light of the Prime Minister recently dismissing the household labour force survey as being “notoriously volatile” and just a survey?","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"That is what Don Brash, the one-time leader of the National Party and the one-time leader of the ACT Party, is saying in a publication in Andrew Bayly’s electorate.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
But why did the National Government cut adult education?,"P,P,P,P,P,P,P,P,P",P
"Other members have spoken about our youth skills and employment package, and I want to talk about one particular aspect.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"This is a time-limited debate, and we have had statements by members that speeches should not be broken up by interjections.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
So this bill is rather a “sledgehammer to crack a nut” approach.,"P,P,P,P,P,P,P,P,P,P,P,P",P
"We have not supported the Indian ones, for the reasons already given.","P,P,P,P,P,P,P,P,P,P,P,P",P
"Oh yes, have a good laugh.","P,P,P,P,P,P",P
He was there.,"P,P,P",P
"Quite clearly, people do, and those beliefs are very broad ranging.","P,P,P,P,P,P,P,P,P,P,P",P
In the letter we explained why it was important that the British Government withdraw its troops from Iraq.,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
a variation of the terms of options or convertible securities; or,"P,P,P,P,P,P,P,P,P,P,P",P
"ACT will be supporting this bill to go to the select committee, although we have a number of specific concerns about some provisions of this bill that we would like to see raised there.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"In the United States, congressman John Conyers introduced the Patent Reform Bill in March of this year.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
The member knows that he must refer to members by their correct titles.,"P,P,P,P,P,P,P,P,P,P,P,P,P",P
"A party vote was called for on the question, That the motion be agreed to.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
Where is our Prime Minister?,"P,P,P,P,P",P
"OK, so my father is in the gallery.","P,P,P,P,P,P,P,P",P
"Unlike the comments that were made by his colleague Stephen Franks, what he said gives pause for a lot of thought.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
That seems to be a reasonable argument.,"P,P,P,P,P,P,P",P
Start walking the walk and stop talking the talk.,"P,P,P,P,P,P,P,P,P",P
"I also want to acknowledge Lil Anderson, Clinton Geeves, Rachel Houlbrooke, and all their colleagues at the Office of Treaty Settlements because their work has been outstanding.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"But, of course, to go from one client to the next client it took time to travel there.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
This does not increase the minimum wage for everything.,"P,P,P,P,P,P,P,P,P",P
"The bill allows the Minister of Transport and the Minister of Finance to allocate fuel excise revenue received from pleasure boat users to activities such as maritime search and rescue, boating safety education, and maritime safety services.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"There is nothing in the income tax legislation that precludes people from paying extra taxes as they want to, voluntarily, and I am sure Treasury would not be embarrassed by a surfeit of cheques.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
There is no mention in the Budget of reducing health waiting lists.,"P,P,P,P,P,P,P,P,P,P,P,P",P
We need people to donate to support organisations.,"P,P,P,P,P,P,P,P",P
"This bill, I think, puts the ACC on a really sound footing, gives the public a really good view about the transparency of the settings, and gives some consultation process.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
New Zealand First also supports the Identity Information Confirmation Bill to attack especially online fraud.,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
"Of course, despite the terminology in the bill, we in this House have not forgotten the importance, and I am sure the trust will not forget the importance as well, of the student union building.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
That is what this bill must be based on.,"P,P,P,P,P,P,P,P,P",P
"Last month this Government passed the New Zealand Symphony Orchestra Act, whose purpose is, among other things, to promote and encourage New Zealand music, composition, and composers, and to provide opportunities for performance for New Zealand musicians.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
There is objection.,"P,P,P",P
We believe that it is a case of bureaucracy gone wild.,"P,P,P,P,P,P,P,P,P,P,P",P
I am not having that sort of rudeness.,"P,P,P,P,P,P,P,P",P
What did that state?,"P,P,P,P",P
"We looked at a number of other MPs who we think might be covered, and I give notice to the Rt Hon Helen Clark, Jim Sutton, and other MPs that I have put down an amendment regarding each one of them, and I challenge them to support my amendment to show that they give allegiance only to this country.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",P
This is going to be an extraordinary addition to their community.,"P,P,P,P,P,P,P,P,P,P,P",P
